t,v
2016-06-20T00:00:00Z,20532
2016-06-21T00:00:00Z,20608
2016-06-22T00:00:00Z,22393
2016-06-23T00:00:00Z,18940
2016-06-24T00:00:00Z,19518
2016-06-25T00:00:00Z,17609
2016-06-26T00:00:00Z,21197
2016-06-27T00:00:00Z,18432
2016-06-28T00:00:00Z,20213
2016-06-29T00:00:00Z,18991
2016-06-30T00:00:00Z,19106
2016-07-01T00:00:00Z,18562
2016-07-02T00:00:00Z,19145
2016-07-03T00:00:00Z,18775
2016-07-04T00:00:00Z,19737
2016-07-05T00:00:00Z,19608
2016-07-06T00:00:00Z,18924
2016-07-07T00:00:00Z,19130
2016-07-08T00:00:00Z,19837
2016-07-09T00:00:00Z,19173
2016-07-10T00:00:00Z,19159
2016-07-11T00:00:00Z,18932
2016-07-12T00:00:00Z,19651
2016-07-13T00:00:00Z,17205
2016-07-14T00:00:00Z,19786
2016-07-15T00:00:00Z,19457
2016-07-16T00:00:00Z,18610
2016-07-17T00:00:00Z,16013
2016-07-18T00:00:00Z,17847
2016-07-19T00:00:00Z,25044
2016-07-20T00:00:00Z,22493
2016-07-21T00:00:00Z,21039
2016-07-22T00:00:00Z,23004
2016-07-23T00:00:00Z,20878
2016-07-24T00:00:00Z,26637
2016-07-25T00:00:00Z,23698
2016-07-26T00:00:00Z,29171
2016-07-27T00:00:00Z,27063
2016-07-28T00:00:00Z,23671
2016-07-29T00:00:00Z,21494
2016-07-30T00:00:00Z,20187
2016-07-31T00:00:00Z,21040
2016-08-01T00:00:00Z,21222
2016-08-02T00:00:00Z,19826
2016-08-03T00:00:00Z,22237
2016-08-04T00:00:00Z,21438
2016-08-05T00:00:00Z,20380
2016-08-06T00:00:00Z,19228
2016-08-07T00:00:00Z,19742
2016-08-08T00:00:00Z,19703
2016-08-09T00:00:00Z,21974
2016-08-10T00:00:00Z,20357
2016-08-11T00:00:00Z,21918
2016-08-12T00:00:00Z,19469
2016-08-13T00:00:00Z,19010
2016-08-14T00:00:00Z,19163
2016-08-15T00:00:00Z,19558
2016-08-16T00:00:00Z,20519
2016-08-17T00:00:00Z,19652
2016-08-18T00:00:00Z,19246
2016-08-19T00:00:00Z,19604
2016-08-20T00:00:00Z,19362
2016-08-21T00:00:00Z,19692
2016-08-22T00:00:00Z,19699
2016-08-23T00:00:00Z,21158
2016-08-24T00:00:00Z,19573
2016-08-25T00:00:00Z,21100
2016-08-26T00:00:00Z,19665
2016-08-27T00:00:00Z,19491
2016-08-28T00:00:00Z,19818
2016-08-29T00:00:00Z,20768
2016-08-30T00:00:00Z,19899
2016-08-31T00:00:00Z,21425
2016-09-01T00:00:00Z,21651
2016-09-02T00:00:00Z,21064
2016-09-03T00:00:00Z,19971
2016-09-04T00:00:00Z,19893
2016-09-05T00:00:00Z,19944
2016-09-06T00:00:00Z,20349
2016-09-07T00:00:00Z,19309
2016-09-08T00:00:00Z,22067
2016-09-09T00:00:00Z,20191
2016-09-10T00:00:00Z,19816
2016-09-11T00:00:00Z,20428
2016-09-12T00:00:00Z,20870
2016-09-13T00:00:00Z,20394
2016-09-14T00:00:00Z,20026
2016-09-15T00:00:00Z,20788
2016-09-16T00:00:00Z,21062
2016-09-17T00:00:00Z,20895
2016-09-18T00:00:00Z,19311
2016-09-19T00:00:00Z,20815
2016-09-20T00:00:00Z,24152
2016-09-21T00:00:00Z,20483
2016-09-22T00:00:00Z,17285
2016-09-23T00:00:00Z,17889
2016-09-24T00:00:00Z,18289
2016-09-25T00:00:00Z,17628
2016-09-26T00:00:00Z,17398
2016-09-27T00:00:00Z,17141
2016-09-28T00:00:00Z,18540
2016-09-29T00:00:00Z,17889
2016-09-30T00:00:00Z,17196
2016-10-01T00:00:00Z,19349
2016-10-02T00:00:00Z,19982
2016-10-03T00:00:00Z,18278
2016-10-04T00:00:00Z,15561
2016-10-05T00:00:00Z,16294
2016-10-06T00:00:00Z,16683
2016-10-07T00:00:00Z,19006
2016-10-08T00:00:00Z,18750
2016-10-09T00:00:00Z,19060
2016-10-10T00:00:00Z,20207
2016-10-11T00:00:00Z,17375
2016-10-12T00:00:00Z,11622
2016-10-13T00:00:00Z,9196
2016-10-14T00:00:00Z,15787
2016-10-15T00:00:00Z,12309
2016-10-16T00:00:00Z,14286
2016-10-17T00:00:00Z,16627
2016-10-18T00:00:00Z,20390
2016-10-19T00:00:00Z,14025
2016-10-20T00:00:00Z,20543
2016-10-21T00:00:00Z,22984
2016-10-22T00:00:00Z,18578
2016-10-23T00:00:00Z,17409
2016-10-24T00:00:00Z,18471
2016-10-25T00:00:00Z,18391
2016-10-26T00:00:00Z,18388
2016-10-27T00:00:00Z,18303
2016-10-28T00:00:00Z,18200
2016-10-29T00:00:00Z,16895
2016-10-30T00:00:00Z,15090
2016-10-31T00:00:00Z,19716
2016-11-01T00:00:00Z,19995
2016-11-02T00:00:00Z,20903
2016-11-03T00:00:00Z,19168
2016-11-04T00:00:00Z,13161
2016-11-05T00:00:00Z,16302
2016-11-06T00:00:00Z,14769
